INPUT:id	INPUT:name	INPUT:image	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ACCEPT:verdict	ACCEPT:comment
obj1181523	Роберт Портер	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000168795d704608956825d544c5ef01/orig	"Американский актёр. Родился 14 мая 190 года в  Лос-Анджелесе, США. Снимался в мелодрамах, вестернах, драмах, комедиях, ужасах, триллерах.
Фильмы, в которых принял участие Роберт Портер: Путешествие с учителем (1975), Чудо-женщина (1974), Человек клана (1974), Иисусово путешествие (1971) и Золото Маккенны (1969). Снялся в двенадцати фильмах. Умер 18 марта 2014 года в Элк Гров, Калифорния, США."				+	
								
obj1181749	Джанет Харгривз	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161ca889751174449c433ca1a7677/orig	"Джанет Харгривз - актриса, снимающаяся в фильмах следующих жанров: драма, криминал, триллер. Родилась .31 мая 1937 в Англии (Графство Сюррэй). Начало карьеры актрисы приходится на 1961 год. Всего Джанет Харгривз принялa участие в 11 кинокартинах.Среди фильмов, которые завоевали популярность среди зрителей, можно выделить ""Пуаро"" (1989), ""Доктор Кто"" (1963), ""Мстители"" (1961). Последние фильмы, в которых снималась актриса: Тайны заблудших душ (2005), Ducks (2008), Stranded (2012). 4 августа 2018 года Джанет Харгривз умерла."				+	
								
obj1181304	Теренс Пушман	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161d5626b74e6f0b9d54a7b568ca4/orig	Теренс Пушман — 77-летний актер родом из Великобритания, Англия, Лондон. Начало карьеры приходится на 1965 г., с тех пор Теренс Пушман принял участие в 5 кинокартинах, включая церемонии вручения премий (если таковые имеются). Предпочитаемые жанры: детектив, комедия, криминал. Дата рождения - 13 августа 1934. По гороскопу же Теренс - Лев. Рост - . Карьера - актер.				+	
								
