INPUT:id	INPUT:name	INPUT:image	OUTPUT:result	GOLDEN:result	HINT:text	HINT:default_language	ACCEPT:verdict	ACCEPT:comment
obj11819206	Грета Экман	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000162c43d9cea008064982f3fcc50c9/orig	Шведская художница по костюмам. Родилась 20 января 1887 года. Была замужем за  Гестой Экманом, шведским актером, сценаристом и режиссером, умершим от наркозависимости в 1938 году. У пары было двое детей, младший из которых умер, не прожив и года. Известна по работе в фильмах Мисс церковный совет(1941), Его превосходительство(1944), Королевская чернь(1945), снятых в жанрах комедия и драма. Всю жизнь прожила в Стокгольме. Умерла 4 августа 1978 года.				+
obj11813598	Гленн Ринкер	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/995567/2a00000162968e8940e2e47a4ef393c5d1dd/orig	"Гленн Ринкер - телеведущий, актёр. Родился в округе Лихай, штат Пенсильвания, США. Годы жизни: 10.10.1933 - 17.02.1993. С 1969 по 1976 год был ведущим вечерних новостей WRC-TV в Вашингтоне. В 1976 году уехал в Майами, где до весны 1982 года был одним из ведущих вечерних новостей на WPLG-TV. В 1980 году на экраны вышел фильм ужасов ""Сияние"", который был его единственной работой в качестве актёра. Роль была второстепенной, в титрах указан не был. В данной работе он сыграл самого себя, а именно ведущего телевизионных новостей. С 1983 года по 1991 год был ведущим на WPCX-TV в Орландо. Умер в своем доме в Орландо, штат Флорида, США в 1993 году от рака легких."				+	
								
obj1181205	Марланд Проктор	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161ca790fb22580bcbdb6f9ee576e/orig	Марланд Проктор родился девятнадцатого сентября тысяча девятьсот тридцать девятого года, в городе Лос-Анджелес, Калифорнии, Сша. Актер из Америки снялся в пятидесяти пяти фильмов, был продюсером. Основными жанрами являлись драма, боевик, криминал. Участие в них он принимал с тысяча девятьсот шестьдесят восьмого года по две тысячи двенадцатый год. Умер актер в Лос-Анджелесе, восьмого октября тысяча девятьсот восемьдесят восьмого года.				+	
								
obj1570139	Гленн Р. Уайлдер	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161bbc1551ebf6d9655c1a086a9c7/orig	"Родился в Калифорнии, Лос-Анджелес 1 сентября 1933 года, умер 7 июля 2017 в Флориде. По знаку зодиака дева. Есть 1 ребёнок, Скотт Уайлдер. Рост 1.83 м. Род деятельности : Актёр, режиссёр, сценарист. Всего 61 фильмов, жанры драма, криминал, боевик.
Фильмы : монстр, крепись, слепая ярость
Интересный факт:
Пострадавшие в аварии на катере на множестве На рыбалку (1997). Несчастный случай также ранил его сына Скотта Уайлдера и убил его дочь в законе Джанет Уайлдер."				+	

obj11816413	Дуглас Нельсон	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/69229/2a00000161bb4e0ccb22352831c738c1d1c8/orig	"Актёр Дуглас Нельсон родился 5 февраля 1951 года во Флориде, США. За всю свою актёрскую карьеру он сыграл в небольшом количестве фильмов, среди которых стоит отдельно отметить сериалы ""Вице-президент"", транслировавшийся с 2012 по 2019 г., ""Их разыскивают в Америке"" (1988-2013), а так же фильмы ""Игра изменилась"" (2012) и ""Поближе"" (2011). Так же были маленькие эпизодические роли в фильмах без укахания в титрах. Умер Дуглас Нельсон 18 февраля 2015 года в Вирджинии. "				+	
								
obj1181855	Уильям Свон	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161bb54dcc6c4cd610af5d946b728/orig	"Популярный актер Уильям Свон появился на свет в США в Нью-Йорке шестого февраля в тысяча девятьсот двадцать восьмом году. Водолей по гороскопу. Предпочитаемые жанры в которых он снимался это драма, детектив и криминал. Актер сыграл в сериале ""Улицы Сан-Франциско"", ""Перри Мэйсон"", а также ""Сумеречная зона"". За всю свою долгую жизнь Уильям снялся более чем в тридцати проектах. К сожалению, Уильям Свон скончался двадцатого января две тысячи девятнадцатого года в возрасте девяноста лет. Одни из последних работ, в которых он успел принять участие: ""Зима замерзших надежд"" и ""Медэксперт Куинси""."				+	
								
obj1181174	Серджо Фашетти	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000163a4c4da218ba2783d81fa4b9109/orig	"Родился 4 июля 1958 года в Италии. Дата смерти: 21 марта 1992 года, в возрасте 3₽ лет. Снялся в нашумевшем фильме ""Сало, или 120 дней Содома"". Причина смерти: передозировка запрещенными веществами."				+	
								
obj118162	Морис Филлипс	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161c770a3c98e84f5878699391298/orig	"Морис Филлипс - режиссер, актер, сценарист. Родился в Англии 25 марта, 1948г., умер 2 июня 2012г. в возрасте 64 лет. Своим творчеством в основном занимался на территории Америки, где и был расцвет его как режиссера. Самые известные произведения, которые пользуются успехом у зрителей, являются: 1.Чуть свет — в Кэндлфорд(сериал, 2008–2011) - сериал рассказывает о жизни в конце XIX столетия маленькой английской деревушки, о их каждодневном труде, отношениях, новых веяниях и проблемах, с ними связанных.
2.Пуаро(сериал, 1989–2013) - великолепный сериал о гениальном детективе Эркюле Пуаро.
"				+	
								



----
obj1181749	Джанет Харгривз	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/27482/2a00000161ca889751174449c433ca1a7677/orig	Британская актриса. Родилась в 1937 году в Уондсворте, Лондон, Великобритания. Снималась в таких фильмах и сериалах, как: Канун Нового года, Врачи, Расследования Хэтти Уэйнтропп. Скончалась 4 августа 2018 года. Коллеги по кинематографу отзывались о ней, как о настоящем профессионале своего дела. Её фильмография включает в себя более 10 работ в самых разных фильмах.				+
obj1181304	Теренс Пушман	http://avatars.mds.yandex.net/get-kino-vod-persons-gallery/34142/2a00000161d5626b74e6f0b9d54a7b568ca4/orig	Теренс Пушман - английский актер. Родился: 13 августа 1934 г., Лондон, Англия, Великобритания. Умер: 14 марта 2012 г. (77 лет), Левинсбург, штат Пенсильвания, США. Снимался в фильмах следующих жанров: комедия, криминал, детектив. Всего сыграл в восьми картинах в период с 1965 по 1982 годы: Путешественники во времени (сериал, 1982-1983), High Risk (1976), Молодой Франкенштейн (1974), Собака Баскервилей (1972), Ночная галерея (сериал, 1969-1973), Любовь по-американски (сериал, 1969-1974), Менникс (сериал, 1967-1975), Напряги извилины (сериал, 1965-1970).				+
